,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 Month),Market Cap,PE Ratio (TTM)
59,MPW,"Medical Properties Trust, Inc.",7.46,-0.07,-0.93%,13.605M,16.45M,4.463B,4.81
60,DNA,"Ginkgo Bioworks Holdings, Inc.",1.2300,-0.0400,-3.15%,13.425M,20.8M,2.549B,N/A
61,LYG,Lloyds Banking Group plc,2.2600,+0.0400,+1.80%,13.427M,10.42M,39.112B,6.65
62,ABEV,Ambev S.A.,2.6600,+0.0300,+1.14%,13.098M,25.011M,41.873B,14.78
63,AI,"C3.ai, Inc.",25.44,+0.17,+0.67%,13.047M,18.803M,2.855B,N/A
64,BCS,Barclays PLC,6.75,+0.15,+2.27%,12.941M,6.719M,27.71B,4.79
65,MU,"Micron Technology, Inc.",59.79,-1.37,-2.24%,14.54M,14.075M,65.242B,10.19
66,MQ,"Marqeta, Inc.",3.8900,+0.3200,+8.96%,13.524M,6.795M,2.095B,N/A
67,CFG,"Citizens Financial Group, Inc.",30.48,-0.62,-1.99%,12.55M,5.57M,14.762B,7.14
68,ERIC,Telefonaktiebolaget LM Ericsson (publ),5.52,+0.06,+1.10%,12.401M,10.017M,18.474B,10.04
69,ET,Energy Transfer LP,11.84,+0.14,+1.20%,12.288M,13.659M,36.64B,8.46
70,AFRM,"Affirm Holdings, Inc.",10.22,-0.11,-1.06%,12.019M,19.345M,3.005B,N/A
71,INFY,Infosys Limited,17.02,+0.22,+1.31%,11.965M,7.992M,70.395B,24.31
72,PYPL,"PayPal Holdings, Inc.",73.30,-0.58,-0.79%,11.885M,13.424M,82.929B,34.74
73,IQ,"iQIYI, Inc.",6.67,-0.17,-2.49%,11.698M,19.449M,6.381B,N/A
74,LCID,"Lucid Group, Inc.",8.14,-0.05,-0.61%,11.482M,29.906M,14.901B,N/A
75,VZ,Verizon Communications Inc.,38.05,+0.39,+1.04%,11.43M,21.234M,159.805B,7.46
76,GM,General Motors Company,34.45,+0.74,+2.20%,10.869M,15.627M,48.045B,5.62
77,FCX,Freeport-McMoRan Inc.,37.98,-0.03,-0.08%,12.035M,12.84M,54.338B,15.82
78,RLX,RLX Technology Inc.,2.3400,+0.0100,+0.43%,11.175M,10.435M,3.622B,15.60
79,PDD,PDD Holdings Inc.,71.68,-2.28,-3.08%,11.388M,9.301M,90.631B,26.26
80,MRO,Marathon Oil Corporation,22.90,+0.74,+3.34%,10.864M,10.388M,14.419B,4.32
81,NOK,Nokia Oyj,4.6700,+0.0400,+0.86%,10.817M,17.843M,26.292B,5.84
82,SHOP,Shopify Inc.,45.07,+0.09,+0.20%,10.714M,20.205M,57.536B,N/A
83,SLB,Schlumberger Limited,46.77,+2.20,+4.94%,10.575M,9.641M,66.769B,19.99
84,DB,Deutsche Bank Aktiengesellschaft,9.79,+0.44,+4.71%,10.394M,5.101M,21.653B,3.96
85,WBD,"Warner Bros. Discovery, Inc.",14.34,+0.34,+2.43%,10.352M,21.094M,34.847B,N/A
86,LYFT,"Lyft, Inc.",9.60,-0.27,-2.74%,10.34M,20.06M,3.63B,N/A
87,M,"Macy's, Inc.",17.10,+0.16,+0.94%,9.855M,9.557M,4.639B,4.34
88,ON,ON Semiconductor Corporation,75.67,-2.14,-2.75%,10.189M,6.912M,32.687B,18.32
89,AGNC,AGNC Investment Corp.,9.89,+0.10,+1.02%,10.78M,12.048M,5.688B,N/A
90,BTG,B2Gold Corp.,3.8900,+0.1000,+2.64%,10.128M,9.939M,4.2B,16.21
91,GPS,"The Gap, Inc.",9.03,+0.03,+0.33%,9.798M,8.016M,3.307B,N/A
92,APE,"AMC Entertainment Holdings, Inc.",1.4100,-0.0400,-2.76%,9.84M,28.751M,4.513B,N/A
93,DISH,DISH Network Corporation,8.60,-0.15,-1.71%,9.73M,6.049M,4.568B,2.45
94,CSX,CSX Corporation,28.75,+0.50,+1.77%,11.01M,13.751M,59.3B,14.67
95,PCG,PG&E Corporation,15.75,+0.11,+0.70%,9.623M,14.209M,35.886B,18.53
96,PTON,"Peloton Interactive, Inc.",9.78,+0.25,+2.62%,9.586M,13.043M,3.384B,N/A
97,GRAB,Grab Holdings Limited,2.7700,+0.0900,+3.36%,9.569M,16.569M,10.637B,N/A
98,FITB,Fifth Third Bancorp,26.26,+0.78,+3.06%,9.561M,8.795M,17.884B,7.79
99,BP,BP p.l.c.,36.88,+1.00,+2.79%,9.266M,9.929M,112.131B,N/A
100,CTRA,Coterra Energy Inc.,23.76,+0.08,+0.34%,9.2M,9.417M,18.188B,4.56
101,TSM,Taiwan Semiconductor Manufacturing Company Limited,90.66,-2.13,-2.30%,9.345M,13.333M,470.17B,14.39
102,CSCO,"Cisco Systems, Inc.",50.54,+0.03,+0.06%,12.111M,18.318M,207.003B,18.25
103,AUY,Yamana Gold Inc.,5.86,-0.01,-0.17%,9.124M,12.846M,5.636B,21.70
104,HAL,Halliburton Company,30.58,+0.98,+3.31%,8.595M,9.221M,27.648B,17.57
105,WAL,Western Alliance Bancorporation,34.05,+1.00,+3.03%,8.95M,5.837M,3.732B,3.32
106,MRVL,"Marvell Technology, Inc.",41.21,+0.15,+0.35%,8.758M,12.099M,35.313B,N/A
107,FHN,First Horizon Corporation,17.26,+0.50,+2.98%,8.569M,7.649M,9.275B,10.59
108,KMI,"Kinder Morgan, Inc.",16.89,+0.10,+0.60%,11.073M,13.127M,37.969B,14.69
109,WMT,Walmart Inc.,144.17,+2.37,+1.67%,8.701M,6.323M,388.633B,33.45
110,RUN,Sunrun Inc.,17.85,-0.09,-0.50%,8.683M,8.687M,3.827B,22.31
111,WBA,"Walgreens Boots Alliance, Inc.",32.94,+0.24,+0.73%,8.665M,6.805M,28.411B,N/A
112,KO,The Coca-Cola Company,61.35,+0.45,+0.74%,12.767M,13.777M,265.419B,27.64
113,SNTMF,SenseTime Group Inc.,0.3397,0.0000,0.00%,8.58M,"220,043",12.365B,N/A
114,ING,ING Groep N.V.,11.47,+0.18,+1.59%,8.468M,4.49M,43.038B,11.03
115,TEVA,Teva Pharmaceutical Industries Limited,8.73,+0.29,+3.44%,8.379M,9.113M,9.948B,N/A
